Species,CulmenLength,CulmenDepth,FlipperLength,OriginLocation,BodyMass,BeakRatio,WingToMass
0,39.1,18.7,181.0,0,3750.0,2.0909090909090913,0.048266666666666666
0,39.5,17.4,186.0,0,3800.0,2.270114942528736,0.04894736842105263
0,40.3,18.0,195.0,0,3250.0,2.238888888888889,0.06
0,38.047999999999995,18.392,182.86,0,3622.5,2.0687255328403653,0.050478951000690137
0,36.7,19.3,193.0,0,3450.0,1.9015544041450778,0.05594202898550724
0,39.3,20.6,190.0,0,3650.0,1.907766990291262,0.052054794520547946
0,38.9,17.8,181.0,0,3625.0,2.185393258426966,0.049931034482758624
0,39.2,19.6,195.0,0,4675.0,2.0,0.04171122994652406
0,34.1,18.1,193.0,0,3475.0,1.8839779005524862,0.05553956834532374
0,42.0,20.2,190.0,0,4250.0,2.0792079207920793,0.04470588235294118
0,37.8,17.1,186.0,0,3300.0,2.2105263157894735,0.056363636363636366
0,37.8,17.3,180.0,0,3700.0,2.184971098265896,0.04864864864864865
0,41.1,17.6,182.0,0,3200.0,2.3352272727272725,0.056875
0,38.6,21.2,191.0,0,3800.0,1.8207547169811322,0.05026315789473684
0,34.6,21.1,198.0,0,4400.0,1.6398104265402844,0.045
0,36.6,17.8,185.0,0,3700.0,2.056179775280899,0.05
0,38.7,19.0,195.0,0,3450.0,2.0368421052631582,0.05652173913043478
0,42.5,20.7,197.0,0,4500.0,2.0531400966183577,0.04377777777777778
0,34.4,18.4,184.0,0,3325.0,1.8695652173913044,0.05533834586466165
0,46.0,21.5,194.0,0,4200.0,2.13953488372093,0.04619047619047619
0,37.8,18.3,174.0,2,3400.0,2.065573770491803,0.051176470588235295
0,37.7,18.7,180.0,2,3600.0,2.016042780748663,0.05
0,35.9,19.2,189.0,2,3800.0,1.8697916666666667,0.049736842105263156
0,38.2,18.1,185.0,2,3950.0,2.110497237569061,0.04683544303797468
0,38.8,17.2,180.0,2,3800.0,2.255813953488372,0.04736842105263158
0,35.3,18.9,187.0,2,3800.0,1.8677248677248677,0.049210526315789475
0,40.6,18.6,183.0,2,3550.0,2.182795698924731,0.05154929577464789
0,40.5,17.9,187.0,2,3200.0,2.2625698324022347,0.0584375
0,37.9,18.6,172.0,2,3150.0,2.0376344086021505,0.054603174603174605
0,40.5,18.9,180.0,2,3950.0,2.1428571428571432,0.04556962025316456
0,39.5,16.7,178.0,1,3250.0,2.3652694610778444,0.05476923076923077
0,37.2,18.1,178.0,1,3900.0,2.0552486187845305,0.045641025641025644
0,39.5,17.8,188.0,1,3300.0,2.2191011235955056,0.05696969696969697
0,40.9,18.9,184.0,1,3900.0,2.164021164021164,0.04717948717948718
0,36.4,17.0,195.0,1,3325.0,2.1411764705882352,0.058646616541353384
0,39.2,21.1,196.0,1,4150.0,1.8578199052132702,0.047228915662650604
0,38.8,20.0,190.0,1,3950.0,1.94,0.04810126582278481
